CountryName,CategoryName,CategoryTotal
Afghanistan,child_labor_total,10.3
Afghanistan,child_labor_male,11
Afghanistan,child_labor_female,9.6
Afghanistan,child_marrage_by_15,15
Afghanistan,child_marrage_by_18,40.4
Afghanistan,birth_registration_total,37.4
Afghanistan,justification_of_wife_beating_female,90.2
Afghanistan,violent_discipline_total,74.4
Afghanistan,violent_discipline_male,74.8
Afghanistan,violent_discipline_female,74.1
Albania,child_labor_total,12
Albania,child_labor_male,14.4
Albania,child_labor_female,9.4
Albania,child_marrage_by_15,0.2
Albania,child_marrage_by_18,9.6
Albania,birth_registration_total,98.6
Albania,justification_of_wife_beating_male,36.4
Albania,justification_of_wife_beating_female,29.8
Albania,violent_discipline_total,75.1
Albania,violent_discipline_male,78.3
Albania,violent_discipline_female,71.4
Algeria,child_labor_total,4.7
Algeria,child_labor_male,5.5
Algeria,child_labor_female,3.9
Algeria,child_marrage_by_15,0.1
Algeria,child_marrage_by_18,1.8
Algeria,birth_registration_total,99.3
Algeria,justification_of_wife_beating_female,67.9
Algeria,violent_discipline_total,87.7
Algeria,violent_discipline_male,88.8
Algeria,violent_discipline_female,86.5
Andorra,birth_registration_total,100
Angola,child_labor_total,23.5
Angola,child_labor_male,22.1
Angola,child_labor_female,24.8
Angola,birth_registration_total,36
Argentina,child_labor_total,6.5
Argentina,child_labor_male,7.6
Argentina,child_labor_female,5.2
Argentina,birth_registration_total,99
Armenia,child_labor_total,3.9
Armenia,child_labor_male,4.7
Armenia,child_labor_female,2.9
Armenia,child_marrage_by_15,0
Armenia,child_marrage_by_18,7.2
Armenia,birth_registration_total,99.6
Armenia,justification_of_wife_beating_male,19.9
Armenia,justification_of_wife_beating_female,9.3
Armenia,violent_discipline_total,69.6
Armenia,violent_discipline_male,72
Armenia,violent_discipline_female,66.9
Australia,birth_registration_total,100
Austria,birth_registration_total,100
Azerbaijan,child_labor_total,6.5
Azerbaijan,child_labor_male,7.5
Azerbaijan,child_labor_female,5.4
Azerbaijan,child_marrage_by_15,0.7
Azerbaijan,child_marrage_by_18,12.2
Azerbaijan,birth_registration_total,93.6
Azerbaijan,justification_of_wife_beating_male,58.3
Azerbaijan,justification_of_wife_beating_female,49
Azerbaijan,violent_discipline_total,75.2
Azerbaijan,violent_discipline_male,78.8
Azerbaijan,violent_discipline_female,71.4
Bahrain,child_labor_total,4.6
Bahrain,child_labor_male,6.3
Bahrain,child_labor_female,3
Bangladesh,child_labor_total,12.8
Bangladesh,child_labor_male,17.5
Bangladesh,child_labor_female,8.1
Bangladesh,child_marrage_by_15,29.1
Bangladesh,child_marrage_by_18,64.9
Bangladesh,birth_registration_total,30.5
Bangladesh,justification_of_wife_beating_female,32.5
Belarus,child_labor_total,1.4
Belarus,child_labor_male,1.3
Belarus,child_labor_female,1.5
Belarus,child_marrage_by_15,0
Belarus,child_marrage_by_18,3.2
Belarus,birth_registration_total,100
Belarus,justification_of_wife_beating_male,4.2
Belarus,justification_of_wife_beating_female,4.1
Belarus,violent_discipline_total,64.5
Belarus,violent_discipline_male,67.4
Belarus,violent_discipline_female,61.7
Belgium,birth_registration_total,100
Belize,child_labor_total,5.8
Belize,child_labor_male,6.7
Belize,child_labor_female,5
Belize,child_marrage_by_15,3.4
Belize,child_marrage_by_18,25.9
Belize,birth_registration_total,95.2
Belize,justification_of_wife_beating_female,8.6
Belize,violent_discipline_total,70.5
Belize,violent_discipline_male,71.3
Belize,violent_discipline_female,69.7
Benin,child_labor_total,45.6
Benin,child_labor_male,46.5
Benin,child_labor_female,44.6
Benin,child_marrage_by_15,7.9
Benin,child_marrage_by_18,34.4
Benin,birth_registration_total,80.2
Benin,female_genital_mutilation_prevalence_woman,12.9
Benin,female_genital_mutilation_prevalence_girls,2.2
Benin,female_genital_mutilation_support_for_practice,1.4
Benin,justification_of_wife_beating_male,13.5
Benin,justification_of_wife_beating_female,46.6
Bhutan,child_labor_total,2.9
Bhutan,child_labor_male,2.6
Bhutan,child_labor_female,3.1
Bhutan,child_marrage_by_15,6.2
Bhutan,child_marrage_by_18,25.8
Bhutan,birth_registration_total,99.9
Bhutan,justification_of_wife_beating_female,68.4
Bolivia (Plurinational State of),child_labor_total,26.4
Bolivia (Plurinational State of),child_labor_male,28.2
Bolivia (Plurinational State of),child_labor_female,24.4
Bolivia (Plurinational State of),child_marrage_by_15,3.2
Bolivia (Plurinational State of),child_marrage_by_18,21.7
Bolivia (Plurinational State of),birth_registration_total,75.8
Bolivia (Plurinational State of),justification_of_wife_beating_female,16.1
Bosnia and Herzegovina,child_labor_total,5.3
Bosnia and Herzegovina,child_labor_male,6.6
Bosnia and Herzegovina,child_labor_female,3.9
Bosnia and Herzegovina,child_marrage_by_15,0.2
Bosnia and Herzegovina,child_marrage_by_18,3.5
Bosnia and Herzegovina,birth_registration_total,99.5
Bosnia and Herzegovina,justification_of_wife_beating_male,6
Bosnia and Herzegovina,justification_of_wife_beating_female,4.8
Bosnia and Herzegovina,violent_discipline_total,55.2
Bosnia and Herzegovina,violent_discipline_male,60.4
Bosnia and Herzegovina,violent_discipline_female,49.5
Botswana,child_labor_total,9
Botswana,child_labor_male,10.9
Botswana,child_labor_female,7
Botswana,birth_registration_total,72.2
Brazil,child_labor_total,8.6
Brazil,child_labor_male,11.2
Brazil,child_labor_female,5.9
Brazil,child_marrage_by_15,10.5
Brazil,child_marrage_by_18,35.6
Brazil,birth_registration_total,93.4
Bulgaria,birth_registration_total,100
Burkina Faso,child_labor_total,39.2
Burkina Faso,child_labor_male,42.3
Burkina Faso,child_labor_female,36
Burkina Faso,child_marrage_by_15,10.2
Burkina Faso,child_marrage_by_18,51.6
Burkina Faso,birth_registration_total,76.9
Burkina Faso,female_genital_mutilation_prevalence_woman,75.8
Burkina Faso,female_genital_mutilation_prevalence_girls,13.3
Burkina Faso,female_genital_mutilation_support_for_practice,9.3
Burkina Faso,justification_of_wife_beating_male,34.1
Burkina Faso,justification_of_wife_beating_female,43.5
Burkina Faso,violent_discipline_total,82.7
Burkina Faso,violent_discipline_male,83.8
Burkina Faso,violent_discipline_female,81.5
Burundi,child_labor_total,26.3
Burundi,child_labor_male,25.5
Burundi,child_labor_female,27.1
Burundi,child_marrage_by_15,2.5
Burundi,child_marrage_by_18,20.4
Burundi,birth_registration_total,75.2
Burundi,justification_of_wife_beating_male,44.3
Burundi,justification_of_wife_beating_female,72.9
Cabo Verde,child_labor_total,3.2
Cabo Verde,child_labor_male,3.7
Cabo Verde,child_labor_female,2.5
Cabo Verde,child_marrage_by_15,2.8
Cabo Verde,child_marrage_by_18,18
Cabo Verde,birth_registration_total,91.4
Cabo Verde,justification_of_wife_beating_male,16.3
Cabo Verde,justification_of_wife_beating_female,17.3
Cambodia,child_labor_total,36.1
Cambodia,child_labor_male,36.4
Cambodia,child_labor_female,35.9
Cambodia,child_marrage_by_15,2.1
Cambodia,child_marrage_by_18,18.4
Cambodia,birth_registration_total,62.1
Cambodia,justification_of_wife_beating_male,22.4
Cambodia,justification_of_wife_beating_female,45.7
Cameroon,child_labor_total,41.7
Cameroon,child_labor_male,43.1
Cameroon,child_labor_female,40.2
Cameroon,child_marrage_by_15,13.4
Cameroon,child_marrage_by_18,38.4
Cameroon,birth_registration_total,61.4
Cameroon,female_genital_mutilation_prevalence_woman,1.4
Cameroon,female_genital_mutilation_prevalence_girls,0.7
Cameroon,female_genital_mutilation_support_for_practice,6.6
Cameroon,justification_of_wife_beating_male,38.7
Cameroon,justification_of_wife_beating_female,46.5
Cameroon,violent_discipline_total,93
Cameroon,violent_discipline_male,93.4
Cameroon,violent_discipline_female,92.6
Canada,birth_registration_total,100
Central African Republic ,child_labor_total,28.5
Central African Republic ,child_labor_male,27.2
Central African Republic ,child_labor_female,29.9
Central African Republic ,child_marrage_by_15,29.1
Central African Republic ,child_marrage_by_18,67.9
Central African Republic ,birth_registration_total,61
Central African Republic ,female_genital_mutilation_prevalence_woman,24.2
Central African Republic ,female_genital_mutilation_prevalence_girls,1.2
Central African Republic ,female_genital_mutilation_support_for_practice,11.3
Central African Republic ,justification_of_wife_beating_male,80.3
Central African Republic ,justification_of_wife_beating_female,79.6
Central African Republic ,violent_discipline_total,92
Central African Republic ,violent_discipline_male,91.9
Central African Republic ,violent_discipline_female,92.1
Chad,child_labor_total,26.1
Chad,child_labor_male,24.5
Chad,child_labor_female,27.8
Chad,child_marrage_by_15,29
Chad,child_marrage_by_18,68.1
Chad,birth_registration_total,15.7
Chad,female_genital_mutilation_prevalence_woman,44.3
Chad,female_genital_mutilation_prevalence_girls,18.2
Chad,female_genital_mutilation_support_for_practice,37.7
Chad,justification_of_wife_beating_female,62.3
Chad,violent_discipline_total,84.3
Chad,violent_discipline_male,85
Chad,violent_discipline_female,83.6
Chile,child_labor_total,2.9
Chile,child_labor_male,3.4
Chile,child_labor_female,2.4
Chile,birth_registration_total,99.8
Colombia,child_labor_total,13
Colombia,child_labor_male,16.6
Colombia,child_labor_female,8.9
Colombia,child_marrage_by_15,5.6
Colombia,child_marrage_by_18,23
Colombia,birth_registration_total,96.5
Comoros,child_labor_total,27.1
Comoros,child_labor_male,26.4
Comoros,child_labor_female,28
Comoros,birth_registration_total,88
Congo,child_labor_total,24.7
Congo,child_labor_male,24.2
Congo,child_labor_female,25.1
Congo,child_marrage_by_15,6.7
Congo,child_marrage_by_18,33.3
Congo,birth_registration_total,91
Congo,justification_of_wife_beating_female,75.7
Costa Rica,child_labor_total,4.7
Costa Rica,child_labor_male,6
Costa Rica,child_labor_female,3.4
Côte d'Ivoire,child_labor_total,26
Côte d'Ivoire,child_labor_male,25
Côte d'Ivoire,child_labor_female,28
Côte d'Ivoire,child_marrage_by_15,9.8
Côte d'Ivoire,child_marrage_by_18,33.2
Côte d'Ivoire,birth_registration_total,65
Côte d'Ivoire,female_genital_mutilation_prevalence_woman,38.2
Côte d'Ivoire,female_genital_mutilation_prevalence_girls,10
Côte d'Ivoire,female_genital_mutilation_support_for_practice,13.8
Côte d'Ivoire,justification_of_wife_beating_male,42
Côte d'Ivoire,justification_of_wife_beating_female,47.9
Côte d'Ivoire,violent_discipline_total,90.9
Côte d'Ivoire,violent_discipline_male,90.7
Côte d'Ivoire,violent_discipline_female,91.2
Cuba,child_marrage_by_15,8.9
Cuba,child_marrage_by_18,40.4
Cuba,birth_registration_total,100
Cyprus,birth_registration_total,100
Czech Republic,birth_registration_total,100
Democratic People's Republic of Korea,birth_registration_total,100
Democratic Republic of the Congo,child_labor_total,15
Democratic Republic of the Congo,child_labor_male,13.1
Democratic Republic of the Congo,child_labor_female,16.8
Democratic Republic of the Congo,child_marrage_by_15,9.3
Democratic Republic of the Congo,child_marrage_by_18,39.4
Democratic Republic of the Congo,birth_registration_total,27.8
Democratic Republic of the Congo,justification_of_wife_beating_female,75.9
Democratic Republic of the Congo,violent_discipline_total,91.6
Democratic Republic of the Congo,violent_discipline_male,92.1
Democratic Republic of the Congo,violent_discipline_female,91.2
Denmark,birth_registration_total,100
Djibouti,child_labor_total,7.7
Djibouti,child_labor_male,7.6
Djibouti,child_labor_female,7.7
Djibouti,child_marrage_by_15,1.8
Djibouti,child_marrage_by_18,5.4
Djibouti,birth_registration_total,92
Djibouti,female_genital_mutilation_prevalence_woman,93.1
Djibouti,female_genital_mutilation_prevalence_girls,48.5
Djibouti,female_genital_mutilation_support_for_practice,36.6
Djibouti,violent_discipline_total,72.1
Djibouti,violent_discipline_male,73.1
Djibouti,violent_discipline_female,71.1
Dominican Republic,child_labor_total,12.9
Dominican Republic,child_labor_male,17.5
Dominican Republic,child_labor_female,7.9
Dominican Republic,child_marrage_by_15,11.7
Dominican Republic,child_marrage_by_18,40.8
Dominican Republic,birth_registration_total,82.4
Dominican Republic,justification_of_wife_beating_female,4.1
Dominican Republic,violent_discipline_total,67.4
Dominican Republic,violent_discipline_male,69.3
Dominican Republic,violent_discipline_female,65.2
Ecuador,child_labor_total,7.5
Ecuador,child_labor_male,7.1
Ecuador,child_labor_female,7.9
Ecuador,child_marrage_by_15,3.8
Ecuador,child_marrage_by_18,22.2
Ecuador,birth_registration_total,90
Egypt,child_labor_total,9.3
Egypt,child_labor_male,14.3
Egypt,child_labor_female,4
Egypt,child_marrage_by_15,2.2
Egypt,child_marrage_by_18,16.6
Egypt,birth_registration_total,99
Egypt,female_genital_mutilation_prevalence_woman,91.1
Egypt,female_genital_mutilation_prevalence_girls,16.5
Egypt,female_genital_mutilation_support_for_practice,54
Egypt,justification_of_wife_beating_female,39.3
Egypt,violent_discipline_total,90.7
Egypt,violent_discipline_male,91.7
Egypt,violent_discipline_female,90.2
El Salvador,child_labor_total,10.4
El Salvador,child_marrage_by_15,5
El Salvador,child_marrage_by_18,25.4
El Salvador,birth_registration_total,98.6
Equatorial Guinea,child_labor_total,27.8
Equatorial Guinea,child_labor_male,27.9
Equatorial Guinea,child_labor_female,27.6
Equatorial Guinea,birth_registration_total,37
Eritrea,child_marrage_by_15,19.6
Eritrea,child_marrage_by_18,47
Eritrea,female_genital_mutilation_prevalence_woman,88.7
Eritrea,female_genital_mutilation_prevalence_girls,62.5
Eritrea,female_genital_mutilation_support_for_practice,48.8
Eritrea,justification_of_wife_beating_female,70.7
Estonia,birth_registration_total,100
Ethiopia,child_labor_total,27.4
Ethiopia,child_labor_male,31.1
Ethiopia,child_labor_female,23.5
Ethiopia,child_marrage_by_15,16.3
Ethiopia,child_marrage_by_18,41
Ethiopia,birth_registration_total,6.6
Ethiopia,female_genital_mutilation_prevalence_woman,74.3
Ethiopia,female_genital_mutilation_prevalence_girls,24.4
Ethiopia,female_genital_mutilation_support_for_practice,31.4
Ethiopia,justification_of_wife_beating_male,44.9
Ethiopia,justification_of_wife_beating_female,68.4
Fiji,violent_discipline_total,72
Finland,birth_registration_total,100
France,birth_registration_total,100
Gabon,child_labor_total,13.4
Gabon,child_labor_male,15.4
Gabon,child_labor_female,11.6
Gabon,child_marrage_by_15,5.6
Gabon,child_marrage_by_18,21.9
Gabon,birth_registration_total,89.6
Gabon,justification_of_wife_beating_male,39.7
Gabon,justification_of_wife_beating_female,50.2
Gambia,child_labor_total,19.2
Gambia,child_labor_male,20.9
Gambia,child_labor_female,17.5
Gambia,child_marrage_by_15,7.3
Gambia,child_marrage_by_18,36.4
Gambia,birth_registration_total,52.5
Gambia,female_genital_mutilation_prevalence_woman,76.4
Gambia,female_genital_mutilation_prevalence_girls,56.1
Gambia,female_genital_mutilation_support_for_practice,64.2
Gambia,justification_of_wife_beating_female,74.5
Gambia,violent_discipline_total,90.3
Gambia,violent_discipline_male,89.6
Gambia,violent_discipline_female,91
Georgia,child_labor_total,18.4
Georgia,child_labor_male,20
Georgia,child_labor_female,16.6
Georgia,child_marrage_by_15,1.1
Georgia,child_marrage_by_18,14
Georgia,birth_registration_total,98.5
Georgia,justification_of_wife_beating_female,6.9
Georgia,violent_discipline_total,66.9
Georgia,violent_discipline_male,70.1
Georgia,violent_discipline_female,63.3
Germany,birth_registration_total,100
Ghana,child_labor_total,33.9
Ghana,child_labor_male,33.8
Ghana,child_labor_female,34
Ghana,child_marrage_by_15,5
Ghana,child_marrage_by_18,20.7
Ghana,birth_registration_total,62.5
Ghana,female_genital_mutilation_prevalence_woman,3.8
Ghana,female_genital_mutilation_prevalence_girls,0.5
Ghana,female_genital_mutilation_support_for_practice,2.4
Ghana,justification_of_wife_beating_male,25.7
Ghana,justification_of_wife_beating_female,44.1
Ghana,violent_discipline_total,93.6
Ghana,violent_discipline_male,93.5
Ghana,violent_discipline_female,93.6
Greece,birth_registration_total,100
Guatemala,child_labor_total,25.8
Guatemala,child_labor_male,35.1
Guatemala,child_labor_female,16.1
Guatemala,child_marrage_by_15,7.1
Guatemala,child_marrage_by_18,30.3
Guatemala,birth_registration_total,96.7
Guinea,child_labor_total,40.1
Guinea,child_labor_male,40
Guinea,child_labor_female,40.1
Guinea,child_marrage_by_15,19.8
Guinea,child_marrage_by_18,63.1
Guinea,birth_registration_total,43.2
Guinea,female_genital_mutilation_prevalence_woman,95.6
Guinea,female_genital_mutilation_prevalence_girls,56.8
Guinea,female_genital_mutilation_support_for_practice,69.2
Guinea,justification_of_wife_beating_female,85.6
Guinea-Bissau,child_labor_total,38
Guinea-Bissau,child_labor_male,39.5
Guinea-Bissau,child_labor_female,36.4
Guinea-Bissau,child_marrage_by_15,6.5
Guinea-Bissau,child_marrage_by_18,22
Guinea-Bissau,birth_registration_total,24.1
Guinea-Bissau,female_genital_mutilation_prevalence_woman,49.8
Guinea-Bissau,female_genital_mutilation_prevalence_girls,38.7
Guinea-Bissau,female_genital_mutilation_support_for_practice,33.5
Guinea-Bissau,justification_of_wife_beating_female,40.2
Guinea-Bissau,violent_discipline_total,81.6
Guinea-Bissau,violent_discipline_male,82.4
Guinea-Bissau,violent_discipline_female,80.7
Guyana,child_labor_total,16.4
Guyana,child_labor_male,17.3
Guyana,child_labor_female,15.5
Guyana,child_marrage_by_15,5.5
Guyana,child_marrage_by_18,23
Guyana,birth_registration_total,87.9
Guyana,justification_of_wife_beating_male,19.3
Guyana,justification_of_wife_beating_female,16.3
Guyana,violent_discipline_total,76.3
Guyana,violent_discipline_male,78.9
Guyana,violent_discipline_female,73.5
Haiti,child_labor_total,24.4
Haiti,child_labor_male,24.5
Haiti,child_labor_female,24.3
Haiti,child_marrage_by_15,2.8
Haiti,child_marrage_by_18,17.5
Haiti,birth_registration_total,79.7
Haiti,justification_of_wife_beating_male,14.9
Haiti,justification_of_wife_beating_female,16.7
Haiti,violent_discipline_total,86
Haiti,violent_discipline_male,86.6
Haiti,violent_discipline_female,85.3
Honduras,child_labor_total,15.6
Honduras,child_labor_male,16.1
Honduras,child_labor_female,15
Honduras,child_marrage_by_15,7.6
Honduras,child_marrage_by_18,33.6
Honduras,birth_registration_total,93.6
Honduras,justification_of_wife_beating_male,9.9
Honduras,justification_of_wife_beating_female,12.4
Hungary,birth_registration_total,100
Iceland,birth_registration_total,100
India,child_labor_total,11.8
India,child_labor_male,11.6
India,child_labor_female,11.9
India,child_marrage_by_15,18.2
India,child_marrage_by_18,47.4
India,birth_registration_total,41.1
India,justification_of_wife_beating_male,51
India,justification_of_wife_beating_female,54.4
Indonesia,child_labor_total,6.9
Indonesia,child_labor_male,7.9
Indonesia,child_labor_female,5.8
Indonesia,child_marrage_by_15,3
Indonesia,child_marrage_by_18,17
Indonesia,birth_registration_total,67
Indonesia,justification_of_wife_beating_male,17
Indonesia,justification_of_wife_beating_female,35
Iran (Islamic Republic of),child_labor_total,11.4
Iran (Islamic Republic of),child_labor_male,12.5
Iran (Islamic Republic of),child_labor_female,10.2
Iran (Islamic Republic of),child_marrage_by_15,2.7
Iran (Islamic Republic of),child_marrage_by_18,16.7
Iran (Islamic Republic of),birth_registration_total,98.6
Iraq,child_labor_total,4.7
Iraq,child_labor_male,5.4
Iraq,child_labor_female,4
Iraq,child_marrage_by_15,4.6
Iraq,child_marrage_by_18,24.3
Iraq,birth_registration_total,99.2
Iraq,female_genital_mutilation_prevalence_woman,8.1
Iraq,female_genital_mutilation_prevalence_girls,3.1
Iraq,female_genital_mutilation_support_for_practice,4.9
Iraq,justification_of_wife_beating_female,51.2
Iraq,violent_discipline_total,79
Iraq,violent_discipline_male,81.1
Iraq,violent_discipline_female,76.9
Ireland,birth_registration_total,100
Israel,birth_registration_total,100
Italy,birth_registration_total,100
Jamaica,child_labor_total,6.1
Jamaica,child_labor_male,6.8
Jamaica,child_labor_female,5.4
Jamaica,child_marrage_by_15,0.6
Jamaica,child_marrage_by_18,8.6
Jamaica,birth_registration_total,97.8
Jamaica,justification_of_wife_beating_male,21.5
Jamaica,justification_of_wife_beating_female,2.9
Jamaica,violent_discipline_total,88.9
Jamaica,violent_discipline_male,90.4
Jamaica,violent_discipline_female,87.3
Japan,birth_registration_total,100
Jordan,child_labor_total,1.9
Jordan,child_labor_male,3.2
Jordan,child_labor_female,0.4
Jordan,child_marrage_by_15,0.7
Jordan,child_marrage_by_18,10.2
Jordan,birth_registration_total,99.1
Jordan,justification_of_wife_beating_female,90
Kazakhstan,child_labor_total,2.2
Kazakhstan,child_labor_male,2.4
Kazakhstan,child_labor_female,2.1
Kazakhstan,child_marrage_by_15,0.3
Kazakhstan,child_marrage_by_18,6.1
Kazakhstan,birth_registration_total,99.7
Kazakhstan,justification_of_wife_beating_male,16.7
Kazakhstan,justification_of_wife_beating_female,12.2
Kazakhstan,violent_discipline_total,49.4
Kazakhstan,violent_discipline_male,53.7
Kazakhstan,violent_discipline_female,45.1
Kenya,child_labor_total,25.9
Kenya,child_labor_male,26.5
Kenya,child_labor_female,25.2
Kenya,child_marrage_by_15,6.2
Kenya,child_marrage_by_18,26.4
Kenya,birth_registration_total,60
Kenya,female_genital_mutilation_prevalence_woman,27.1
Kenya,female_genital_mutilation_prevalence_girls,7.7
Kenya,female_genital_mutilation_support_for_practice,9.8
Kenya,justification_of_wife_beating_male,44
Kenya,justification_of_wife_beating_female,52.6
Kiribati,child_marrage_by_15,2.8
Kiribati,child_marrage_by_18,20.3
Kiribati,birth_registration_total,93.5
Kiribati,justification_of_wife_beating_male,59.7
Kiribati,justification_of_wife_beating_female,75.6
Kiribati,violent_discipline_total,81
Kyrgyzstan,child_labor_total,3.6
Kyrgyzstan,child_labor_male,4.3
Kyrgyzstan,child_labor_female,2.9
Kyrgyzstan,child_marrage_by_15,0.5
Kyrgyzstan,child_marrage_by_18,10.4
Kyrgyzstan,birth_registration_total,96
Kyrgyzstan,justification_of_wife_beating_female,37.7
